talker_2	talker_1	phone_2	phone_1	by	score	n
c1	f2	ax	ae	k-n	0.620050489332	28917
c1	i1	ae	ax	k-n	0.569827586207	19720
c1	i1	ax	ae	k-n	0.454752245726	138040
c1	j1	ae	ax	k-n	0.416318785579	2635
c1	j1	ax	ae	k-n	0.541610192464	18445
c1	m2	ae	ax	k-n	0.441494435612	6290
c1	m2	ax	ae	k-n	0.570769929593	44030
c1	q1	ae	ax	k-n	0.607536764706	1088
c1	q1	ax	ae	k-n	0.459952731092	7616
c1	s1	ae	ax	k-n	0.600985105581	127296
c1	s1	ax	ae	k-n	0.457280668678	891072
c1	s2	ae	ax	k-n	0.603533897219	62424
c1	s2	ax	ae	k-n	0.469899397668	436968
c1	s3	ae	ax	k-n	0.422322775264	1326
c1	s3	ax	ae	k-n	0.575307045895	9282
c1	t1	ae	ax	k-n	0.500649350649	26180
c1	t1	ax	ae	k-n	0.56774527993	183260
c1	v1	ae	ax	k-n	0.465452847806	141372
c1	v1	ax	ae	k-n	0.565542378568	989604
c1	v2	ae	ax	k-n	0.436224489796	19992
c1	v2	ax	ae	k-n	0.552528154119	139944
c1	w1	ae	ax	k-n	0.567458436807	52751
c1	w1	ax	ae	k-n	0.46505821149	369257
c1	w3	ae	ax	k-n	0.614081996435	8976
c1	w3	ax	ae	k-n	0.406273873186	62832
d1	c1	ae	ax	k-n	0.597256549679	40460
d1	c1	ax	ae	k-n	0.482523627852	236691
d1	f1	ae	ax	k-n	0.625081632653	49000
d1	f1	ax	ae	k-n	0.470661084947	286650
d1	f2	ae	ax	k-n	0.452057613169	4860
d1	f2	ax	ae	k-n	0.633428300095	28431
d1	i1	ae	ax	k-n	0.583017241379	23200
d1	i1	ax	ae	k-n	0.442285587975	135720
d1	j1	ae	ax	k-n	0.465483870968	3100
d1	j1	ax	ae	k-n	0.516680452164	18135
d1	m2	ae	ax	k-n	0.426351351351	7400
d1	m2	ax	ae	k-n	0.515523215523	43290
d1	q1	ae	ax	k-n	0.40625	1280
d1	q1	ax	ae	k-n	0.585336538462	7488
d1	s1	ae	ax	k-n	0.553098290598	149760
d1	s1	ax	ae	k-n	0.497622406677	876096
d1	s2	ae	ax	k-n	0.566557734205	73440
d1	s2	ax	ae	k-n	0.493284825801	429624
d1	s3	ae	ax	k-n	0.511538461538	1560
d1	s3	ax	ae	k-n	0.492000876616	9126
d1	t1	ae	ax	k-n	0.468279220779	30800
